idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,MajDiam,MinDiam,PAdiam,EPA,mainClass,subClass,tbRadioCont_Flux_3cm,tbRadioCont_Flux_6cm,tbRadioCont_Flux_11cm,tbRadioCont_Flux_13cm,tbRadioCont_Flux_20cm,tbRadioCont_Flux_36cm,tbRadioCont_Flux_2cm,tbIRFlux_Flux_J,tbIRFlux_Flux_H,tbIRFlux_Flux_Ks,tbIRFlux_Flux_8um,tbIRFlux_Flux_12um,tbIRFlux_Flux_22um,tbIRFlux_Flux_24um,tbIRFlux_Flux_25um,tbIRFlux_Flux_60um,tbIRFlux_Flux_70um,tbIRFlux_Flux_100um,tbIRFlux_Flux_160um,tbIRFlux_Flux_250um,tbIRFlux_Flux_350um,tbIRFlux_Flux_500um,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
8,000.0+02.0,K 6-4,T,17:37:42.9,-27:49:09.55,264.42886,-27.81932,0.03035,2.0662,2001A&A...378..843K,6.9,4.1,,,S,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4060525376634471808,264.42892213371,-27.81946651917,0.001,0.001,104.0,1636148068921376768,4060525376634471808,1002908988,0.9034,0.6949,,,,,,,,,-0.1426,,,,,,,,,,208,0,207,1,16.7571,759.08,5.731,24.839,3,false,,,,,,,,,24,15,1.74719,24,0.06975,73.48,0,0,,0,206,300.0229,3.10812,96.5286,19.49448,0.01158,15,420.24,21.6724,19.3906,18.779799,0.056062,14,1901.31,33.567,56.6422,16.550264,0.019537,7.738,0,11,0,11,0,2.229534,-0.714682,2.944216,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,2.9E-5,2.6E-5,0.989301,,,,,,,,,,,,,,,,,,,,,,,264.42892213371,-27.81946651917,0.903361,0.694902,-0.1426,0.563347
10,000.1-08.0,SB 1,T,18:18:48.5,-32:47:55.32,274.702,-32.7987,0.11982,-8.09701,2001A&A...378..843K,29.4,28.8,,,B,a;,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4045583322840954496,274.70193393969,-32.79860045904,0.001,0.0,46.0,1636148068921376768,4045583322840954496,705712098,0.6248,0.6104,-0.2284,0.616,-0.3708,6.493,-2.219,0.907,-6.102,0.716,0.5632,-0.0418,-0.4239,-0.4776,0.2966,-0.5914,-0.7203,-0.4838,-0.3838,0.7162,136,0,136,0,0.2737,140.08,0.0,0.0,95,false,,1.7167,0.1593,0.16,0.259,0.366,-0.512,-0.533,16,12,1.596568,16,0.06556,12.59,0,0,1.014,0,136,186.18581,1.46453,127.13,20.0125,0.008974,8,162.882,9.22347,17.6596,19.808857,0.061545,6,80.7291,12.9745,6.22215,19.98032,0.174536,1.308,0,2,0,2,0,-0.171463,-0.203644,0.032181,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.023015,0.0,5.0E-5,,,,,,,,,,,,,,,,,,,,,,,274.70194567366,-32.79857334115,14.794284,11.900968,0.7269,0.410335
12,000.1+02.6,Al 2-J,T,17:35:35.4,-27:24:04.97,263.89753,-27.40138,0.13036,2.68778,1992secg.book.....A,10.5,,,,E,a;,,,,,6.4,,,,,,,1.64,,,0.95,1.84,,22.03,,,,,Gaia DR3 4061303281130808448,263.89767095089,-27.40148674102,0.0,0.0,60.0,1636148068921376768,4061303281130808448,1548716788,0.1466,0.1144,0.3002,0.1622,1.8504,7.619,-3.576,0.164,-6.728,0.126,0.4488,-0.2951,-0.1556,-0.4135,-0.4777,-0.2917,-0.5583,-0.0368,0.4309,0.3092,210,0,210,0,0.4132,234.53,0.16,0.26803,95,false,,1.3123,0.0315,-0.089,0.035,0.097,-0.033,-0.11,24,14,0.252442,24,0.05407,13.15,0,0,1.019,0,210,1260.19396,3.58171,351.841,17.936274,0.004137,19,384.169,12.9111,29.7551,18.877235,0.036596,20,2052.17,23.5952,86.9739,16.467365,0.013043,1.933,0,5,0,5,0,2.40987,0.940962,1.468908,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,263.89768885385,-27.40145684053,2.644768,2.088619,0.3357,0.592119
13,000.1-05.6,H 2-40,T,18:08:30.7,-31:36:35.64,272.128,-31.6099,0.15423,-5.61605,1992secg.book.....A,18.3,16.9,,,E,a;r;s;,,,,,2.2,,,,,,,,,,,,,,,,,,Gaia DR3 4049045783774253696,272.12813401369,-31.6098142434,0.0,0.0,103.0,1636148068921376768,4049045783774253696,18586527,0.2096,0.1796,0.3395,0.2675,1.2693,4.169,-2.449,0.277,-3.374,0.187,-0.0768,-0.0103,-0.1162,-0.0267,-0.4617,0.1156,-0.5333,-0.3612,0.371,-0.1569,210,0,209,1,4.8596,333.14,0.743,2.7688,95,false,,1.3984,0.0493,-0.019,0.144,-0.082,0.009,-0.216,24,14,0.399776,24,0.01779,169.8,12,0,1.249,0,204,775.92592,3.48947,222.362,18.462816,0.005607,18,638.776,23.8328,26.8024,18.32517,0.040605,16,1397.2,33.3234,41.9283,16.884752,0.026169,2.624,0,18,0,16,0,1.440418,-0.137646,1.578064,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,2.0E-6,0.999998,,,,,,,,,,,,,,,,,,,,,,,272.12814679616,-31.60979925007,4.467365,3.088995,-0.1565,0.513932
14,000.1+17.2,PC 12,T,16:43:53.8,-18:57:11.88,250.97409,-18.9533,0.16601,17.24877,1992secg.book.....A,2.3,2.2,,20.0,B,m;p;r;,,19.0,,,15.1,,,,,,,0.26,,,4.33,3.66,,9.39,,,,,Gaia DR3 4130784921205604736,250.97408474569,-18.95333033341,0.0,0.0,91.0,1636148068921376768,4130784921205604736,300206614,0.0576,0.0294,0.0689,0.0664,1.0368,3.961,-3.172,0.079,-2.372,0.058,-0.0188,-0.1042,0.0011,-0.0503,-0.0885,0.0074,-0.1587,-0.1153,0.2688,-0.1264,406,0,405,1,4.3347,1242.0,0.41,25.724,95,false,,1.6638,0.0126,0.038,-0.165,0.067,-0.019,0.012,46,18,0.110225,46,0.05377,18.71,0,0,1.156,0,402,16085.38592,55.729,288.636,15.171288,0.004663,41,33952.1,218.46,155.416,14.011375,0.007523,41,34847.7,144.006,241.988,13.39246,0.005866,4.277,0,1,0,2,0,0.618916,-1.159913,1.778829,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,7.05E-4,0.998734,1.0E-6,,,,,,,,,,,,,,,,,,,,,,,250.97409965078,-18.95331979004,1.263072,0.928108,-0.1235,0.110656
15,000.0-01.0,JaSt 69,T,17:50:10.0,-29:19:05.38,267.54154,-29.31816,0.18622,-1.04734,2001A&A...378..843K,14.0,,,,E,m;s;,,,,,,,,,,,0.011,0.042,0.07,0.09,,,0.11,,,,,,Gaia DR3 4057224264723323264,267.54157276019,-29.31826775164,0.0,0.0,72.0,1636148068921376768,4057224264723323264,1356014056,0.3677,0.2638,-0.8167,0.3963,-2.0611,1.6,1.598,0.487,0.09,0.257,0.249,-0.1714,0.2057,-0.0583,-0.1279,0.0288,-0.5665,-0.2172,0.1489,0.1675,312,0,311,1,-0.2878,334.89,0.0,0.0,95,false,,1.1995,0.0823,-0.068,-0.112,0.207,-0.066,-0.087,36,17,0.684953,37,0.3455,83.43,0,0,0.987,0,311,258.88826,4.20912,61.5066,19.654587,0.017866,5,62.3513,9.39254,6.63838,20.851429,0.163578,7,672.15,50.0578,13.4275,17.67923,0.080948,2.837,0,2,0,3,0,3.172199,1.196842,1.975357,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,267.54156461604,-29.31826814979,7.7208,4.267559,0.1645,0.401304
16,000.1+04.3,H 1-16,T,17:29:23.4,-26:26:04.38,262.34732,-26.43455,0.19046,4.3735,1992secg.book.....A,5.0,,,,E,r;,,,,,34.9,,,,,,,0.79,,,6.34,4.64,,10.27,,,,,Gaia DR3 4109679250049965312,262.34730715056,-26.43460941494,0.02,0.002,59.0,1636148068921376768,4109679250049965312,1496276352,17.1217,10.3807,,,,,,,,,0.9639,,,,,,,,,,81,0,81,0,54.804,4721.5,12.83,157.25,3,false,,,,,,,,,9,6,54.54721,10,0.4519,143.2,0,10,,0,79,597.19662,15.0673,39.6352,18.747074,0.027531,5,4947.8,253.324,19.5315,16.102512,0.055659,5,9445.53,87.9899,107.348,14.80983,0.010797,24.101,0,5,0,5,0,1.292683,-2.644562,3.937244,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,5.4E-4,0.007602,0.990447,,,,,,,,,,,,,,,,,,,,,,,262.34730715056,-26.43460941494,17.121746,10.380673,0.9639,0.217868
19,000.2-01.9,M 2-19,T,17:53:45.6,-29:43:46.34,268.44009,-29.72954,0.23061,-1.92971,1992secg.book.....A,20.0,,,110.0,B,,,14.0,,,10.5,27.8,,,,,,2.23,,,1.19,2.81,,59.16,,,,,Gaia DR3 4056495151130724224,268.44019281746,-29.7297110098,0.0,0.0,66.0,1636148068921376768,4056495151130724224,777729196,0.091,0.0703,-0.1641,0.1125,-1.4587,2.083,-1.836,0.114,0.984,0.075,0.2804,-0.1568,-0.1771,-0.175,-0.25,-0.1764,-0.7143,-0.2737,0.3207,0.2931,314,0,312,2,4.6061,450.99,0.355,4.0124,95,false,,1.5062,0.0181,-0.101,0.033,-0.132,0.108,-0.221,36,16,0.165854,36,0.08468,6.859,0,0,1.191,0,293,3331.54641,14.1762,235.01,16.880753,0.005379,24,4293.98,98.1866,43.7328,16.256393,0.024983,26,8568.32,77.77,110.175,14.915656,0.010555,3.861,0,24,0,26,0,1.340737,-0.624359,1.965096,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.453484,0.546516,,,,,,,,,,,,,,,,,,,,,,,268.44020221565,-29.72971538163,1.839984,1.252237,0.2972,0.694492
21,000.2+01.7,JaSt 19,T,17:39:39.29,-27:47:21.9,264.91371,-27.78942,0.28446,1.71932,2001A&A...378..843K,7.2,6.4,,,E,,,6.8,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4060845334555887616,264.91379672447,-27.78945653917,0.026,0.002,64.0,1636148068921376768,4060845334555887616,1053516988,23.0629,11.3628,,,,,,,,,0.9725,,,,,,,,,,76,0,76,0,1.4751,89.289,1.178,0.1404,3,false,,,,,,,,,9,5,67.99579,9,0.2137,153.1,8,0,,0,75,89.16512,1.80062,49.5191,20.81188,0.022098,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,264.91379672447,-27.78945653917,23.062927,11.362776,0.9725,0.305924
22,000.3-04.6,M 2-28,T,18:05:02.7,-30:58:17.40,271.26123,-30.9715,0.35839,-4.65958,1992secg.book.....A,5.5,,,,E,,,10.0,,,12.6,,,,,,,2.26,,,1.08,2.88,,52.13,,,,,Gaia DR3 4049886772877581696,271.2611437988,-30.97129799825,0.001,0.001,58.0,1636148068921376768,4049886772877581696,923631433,0.9274,0.7256,,,,,,,,,0.5075,,,,,,,,,,129,0,128,1,3.0296,176.05,1.52,0.97839,3,false,,,,,,,,,15,9,2.484997,16,0.08843,87.96,0,0,,0,118,263.74536,2.83295,93.0993,19.634405,0.011983,10,4325.99,251.136,17.2257,16.248327,0.063092,10,6695.79,106.815,62.686,15.183391,0.017728,41.789,0,10,0,10,0,1.064937,-3.386078,4.451015,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.973595,0.0,,,,,,,,,,,,,,,,,,,,,,,271.2611437988,-30.97129799825,0.927426,0.725644,0.5075,0.774356
