recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP_x,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist,objID,RAJ2000_x,DEJ2000_x,errHalfMaj_x,errHalfMin_x,errPosAng_x,f_objID,Qual,Epoch,Ns,Nd,gmag_xa,e_gmag_x,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,AllWISE,RAJ2000_xa,DEJ2000_xa,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA_x,e_pmRA_x,pmDE_x,e_pmDE_x,d2M,angDist_xa
1006," ","PN G189.8+07.7 ",M1-7,3382861038566672000,B,99.3372,24.0098,0.31,19.79,0.17,0.25,0.03,99.3372,24.0098,Gaia DR3 3382861038566672000,99.33717226052,24.0098348905,0.001,0.001,134.0,1636148068921376768,3382861038566672000,964437573,0.9407,0.935,1.3761,1.2174,1.1303,4.195,1.551,1.238,-3.897,0.933,-0.2325,0.3846,0.0051,0.1919,-0.669,0.3636,-0.0132,-0.223,-0.0895,0.1193,116,0,115,1,-0.1168,120.74,1.14,0.34684,95,false,,1.1323,0.2464,-0.285,0.046,-0.038,-0.016,0.094,14,12,1.792914,14,0.08212,5.444,0,0,0.989,0,112,228.32783,3.19607,71.4402,19.79097,0.015446,7,8354.6,206.58,40.4424,15.533729,0.026991,5,5652.68,31.0332,182.149,15.36726,0.007058,61.347,0,4,0,2,0,0.166469,-4.257241,4.42371,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.972974,0.027026,,,,,,,,,,,,,,,,,,,,,,,99.33716471335,24.00985221252,19.824762,14.973311,0.0864,0.155236,136810993372222788,99.33725045,24.01021174,0.061,0.042,90.0,444915712,53,56253.12021991,4,46,15.5573,0.0409,13.1703,0.0031,16793912,15.4212,0.1204,13.1098,0.0042,16793912,17.2374,0.1081,14.5179,0.0072,16892216,17.4121,0.1431,14.7021,0.0089,16793912,16.3421,0.0108,13.6182,0.0035,16892216,1.49152,J063720.93+240035.5,99.3372095,24.009879,0.0285,0.0281,62.0,11.584,10.568,6.118,2.91,15.134,14.153,12.966,0.022,0.021,0.013,0.017,0.1,,,990124201351020603,0000,5,11nn,AAAA,19,40,-413,39,2.332,0.286073
1007,*,"PN G190.3-17.7 ",J320,3291783576991686784,A,76.3928,10.7064,0.56,14.45,-0.42,0.39,-0.64,76.3928,10.7064,Gaia DR3 3291783576991686784,76.39283311869,10.7063678516,0.0,0.0,98.0,1636148068921376768,3291783576991686784,678542992,0.0511,0.0321,0.3065,0.058,5.2886,1.999,1.998,0.07,-0.032,0.05,-0.1438,-0.1048,-0.1617,0.2086,-0.1166,0.223,-0.4008,0.0845,0.1753,-0.2554,227,0,226,1,-1.8082,835.33,0.316,29.362,95,false,,1.7718,0.0113,0.22,-0.175,-0.221,-0.231,0.226,26,15,0.100416,26,0.03174,40.35,0,0,0.914,0,219,31255.66659,87.2939,358.051,14.450045,0.004097,22,53227.5,1086.61,48.9849,13.523203,0.02234,21,20947.7,194.106,107.919,13.945054,0.010747,2.373,0,22,0,21,0,-0.421851,-0.926842,0.504991,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.004913,0.039823,6.0E-5,,,,,,,,,,,,,,,,,,,,,,,76.39282407943,10.70636799393,1.123086,0.821126,-0.2674,0.164678,120840763928638120,76.39286057,10.70635512,0.009,0.006,90.0,512024576,61,56107.56574074,5,75,12.397,,,,114724,12.918,,,,114724,13.288,,,,114724,14.8763,0.0069,13.9852,0.0023,16892216,14.8251,0.0355,13.6829,0.022,16892216,0.268347,J050534.37+104221.7,76.3932199,10.7060502,0.0606,0.0349,138.8,12.118,11.316,6.599,2.979,13.672,13.909,13.222,0.035,0.035,0.035,0.045,0.068,0.1,0.073,769110601351033374,0000,1,nnnn,AAAA,,,,,1.244,1.94739
1009,*,"PN G191.4+33.1 ",TK1,708990321934310784,A,126.773,31.5023,0.3,15.66,-0.53,0.09,-0.59,126.773,31.5023,Gaia DR3 708990321934310784,126.77301777543,31.50225310218,0.0,0.0,117.0,1636148068921376768,708990321934310784,785797140,0.0471,0.0388,1.8143,0.0583,31.1469,14.079,-6.423,0.057,-12.529,0.044,-0.2647,-0.1496,-0.0205,0.1456,-0.0878,0.1198,0.1584,0.2826,-0.2016,-0.1443,263,0,262,1,0.4931,552.57,0.315,11.44,31,false,1.902,,,,,,,,30,18,0.081703,32,0.05397,109.3,4,0,1.021,0,262,10240.32072,8.02351,1276.29,15.661583,0.002884,30,8758.72,22.8039,384.088,15.48244,0.003972,28,3107.01,12.8032,242.674,16.01704,0.005857,1.159,0,0,0,0,0,-0.5346,-0.179143,-0.355457,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,5.0E-5,,,,,,,,,,,,,,,,,,,,,,,126.77305125552,31.50230878647,0.918441,0.700573,-0.1599,0.177429,145801267730343338,126.77302384,31.50226305,0.004,0.003,90.0,503635968,60,56059.86550926,5,70,15.4644,0.0052,15.5024,0.003,115000,15.9539,0.0021,16.006,0.0025,115000,16.3515,0.0022,16.4086,0.0029,115000,16.6451,0.0025,16.722,0.0032,115000,16.8344,0.0049,16.9362,0.0145,115000,0.151819,J082705.54+313007.4,126.7731247,31.5020817,0.3779,0.3441,6.9,16.944,16.743,12.656,8.97,16.588,15.957,15.727,0.116,,,,0.145,,0.201,1270131801351016242,0000,0,nnnn,BUUU,436,1326,1977,1460,1.082,0.874153
1010," ","PN G192.5+07.2 ",HaWe8,3378885131503804544,B,100.0404,21.4171,0.11,18.85,0.6,0.12,0.54,100.0404,21.4171,Gaia DR3 3378885131503804544,100.04035073363,21.41713444479,0.0,0.0,135.0,1636148068921376768,3378885131503804544,193600679,0.2329,0.232,0.8289,0.2859,2.8992,0.95,0.524,0.316,-0.792,0.29,-0.3143,0.0673,-0.2734,0.2723,-0.4362,0.1372,-0.2739,0.2915,-0.1987,-0.4982,190,9,190,0,1.1683,217.86,0.68,1.317,31,false,1.602,,,,,,,,22,14,0.527305,24,0.5032,2.465,0,0,1.06,0,197,543.49262,5.65345,96.1348,18.849382,0.011625,21,339.594,20.8208,16.3103,19.011143,0.066626,21,341.704,18.6329,18.3387,18.413773,0.059325,1.254,0,1,0,2,0,0.59737,0.16176,0.43561,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.550224,0.0,0.449728,5892.3,5869.0,5918.9,4.7339,4.73,4.7369,-3.0709,-3.1547,-2.9855,4145.4766,4095.0652,4209.1797,0.0031,7.0E-4,0.0078,0.0026,6.0E-4,0.0067,0.0015,3.0E-4,0.0037,MARCS,100.04034823223,21.41713796423,5.129217,4.713584,-0.5039,0.20649,133701000403461110,100.04035698,21.41712827,0.016,0.004,90.0,436527104,52,55834.03237269,5,52,19.1357,0.0214,19.1594,0.012,115000,18.5005,0.023,18.5557,0.0578,115000,18.8199,0.0037,18.9251,0.0099,115000,18.528,0.0919,18.539,0.0661,115000,18.6822,0.0842,18.865,0.0691,115000,0.176479,J064009.67+212501.7,100.040328,21.4171596,0.4649,0.4216,172.2,17.092,16.668,11.67,7.986,,,,0.142,,,,,,,1000121201351042709,0000,0,0nnn,BUUU,3953,1516,-835,1670,,0.322873
1012," ","PN G192.9+00.6 ",IPHASXJ061602.5+175920,3370371926501630464,B,94.0072,17.9905,12.87,21.03,1.89,2.75,0.63,94.0072,17.9905,Gaia DR3 3370371926501630464,94.00724967402,17.99048824667,0.039,0.002,134.0,1636148068921376768,3370371926501630464,287332018,28.0108,27.3059,,,,,,,,,-0.9949,,,,,,,,,,49,0,49,0,1.3399,57.008,0.0,0.0,3,false,,,,,,,,,6,5,557.3135,6,17.42,43.1,0,0,,0,45,73.33639,1.70942,42.9014,21.024069,0.025457,2,25.5985,6.78854,3.77084,21.818008,0.287943,4,84.972,17.3237,4.90497,19.924706,0.221386,1.508,0,0,0,0,0,1.893303,0.79394,1.099363,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,8.0E-5,2.0E-5,0.999307,,,,,,,,,,,,,,,,,,,,,,,94.00724967402,17.99048824667,28.010782,27.305893,-0.9949,0.175267,129580940072239110,94.00723898,17.99047984,0.022,0.018,90.0,436527104,52,55806.27565972,8,22,,,,,16416,21.5561,0.1272,21.5303,0.2112,115000,20.2879,0.0269,20.4495,0.0395,115000,19.5666,0.0322,19.7606,0.0391,115000,19.0412,0.021,19.0068,0.2384,115000,0.151923,J061601.71+175922.9,94.0071317,17.9897013,0.1312,0.1179,171.4,15.335,15.304,11.76,8.326,16.792,15.87,15.376,0.047,0.108,,,0.172,0.163,0.208,935118101351019569,0000,0,0nnn,AAUU,-713,384,704,441,0.912,2.88492
1014,*,"PN G193.6-09.5 ",H3-75,3340384082588168960,B,85.1874,12.3563,1.16,13.81,1.39,0.6,1.13,85.1874,12.3563,Gaia DR3 3340384082588168960,85.18738380527,12.35625329493,0.0,0.0,93.0,1636148068921376768,3340384082588168960,1699634252,0.0169,0.0131,0.2486,0.019,13.0892,0.428,-0.174,0.023,-0.391,0.015,-0.0228,-0.09,-0.4739,0.1405,-0.2073,0.3877,-0.8326,0.004,0.2892,-0.4015,549,0,547,2,4.4492,693.11,0.039,1.2927,31,false,1.44,,,,,,,,65,18,0.035509,66,0.03073,20.61,0,0,1.137,0,538,56526.07713,8.56066,6603.0,13.806745,0.00276,63,23177.6,16.681,1389.47,14.42587,0.002898,57,48521.1,27.9112,1738.41,13.033068,0.003831,1.268,0,3,0,1,0,1.392802,0.619125,0.773677,11.58,2.64,2,26,5,11,11.533,,,926.725,,5250.0,0.0,-0.5,111,,,,12.713647,0.0477,22,,NOT_AVAILABLE,0.0,0.0,0.999976,,,,,,,,,,,,,,,,,,,,,,,85.18738459848,12.35625503279,0.379457,0.258245,-0.4012,0.177521,122820851873958016,85.18738121,12.35625068,0.081,0.033,90.0,503635968,60,56172.82960648,5,65,14.6179,0.0019,13.7361,0.0092,16892216,13.126,,,,114724,12.961,,,,114724,12.904,,,,114724,13.0911,0.0048,13.0105,0.01,115000,0.189449,J054044.97+122122.4,85.1873816,12.3562448,0.0372,0.0353,87.8,11.125,11.072,9.081,6.179,12.004,11.463,11.329,0.023,0.02,0.036,0.061,0.025,0.029,0.022,849112101351044307,hhh0,1,0110,AAAA,1,44,-55,44,0.034,0.208953
1015," ","PN G194.2+02.5 ",J900,3370531286968467200,A,96.4886,17.7909,0.1,17.06,-0.01,0.78,-0.44,96.4886,17.7909,Gaia DR3 3370531286968467200,96.48863520565,17.79086851689,0.0,0.0,172.0,1636148068921376768,3370531286968467200,1075672057,0.2176,0.2308,-0.8187,0.2887,-2.8362,1.4,1.256,0.305,-0.618,0.234,-0.0176,-0.1672,-0.0402,0.2248,-0.6052,0.4054,-0.3485,-0.2872,0.2197,-0.1577,168,0,167,1,5.0924,481.69,1.259,14.881,95,false,,1.7236,0.0514,-0.031,-0.249,0.112,-0.207,-0.026,20,15,0.453993,20,0.09074,3.62,0,0,1.295,0,165,2819.73529,47.6499,59.1761,17.061846,0.018553,10,52987.4,1332.3,39.7715,13.528111,0.027442,8,30416.6,302.724,100.476,13.540119,0.011448,29.579,0,10,0,8,0,-0.012009,-3.533735,3.521727,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.015949,0.984051,,,,,,,,,,,,,,,,,,,,,,,96.48862934421,17.79087126338,4.901535,3.824275,-0.1879,0.165557,129340964886599323,96.48868373,17.79065239,0.023,0.023,90.0,310456320,37,55219.25445602,0,4,14.0945,0.0014,12.4017,0.001,16781336,14.5584,0.0012,12.7011,0.001,16777496,,,,,0,,,,,0,,,,,0,0.936463,J062557.25+174727.2,96.4885544,17.7909095,0.0294,0.0273,86.5,8.535,7.447,2.972,0.063,12.392,11.976,10.567,0.023,0.02,0.015,0.011,0.056,0.068,0.029,967118101351016416,0000,5,1100,AAAA,-125,32,-394,31,0.156,0.160168
1017,*,"PN G196.6-10.9 ",NGC2022,3336140414380977664,A,85.5258,9.0863,0.09,15.7,-0.17,0.41,-0.4,85.5258,9.0863,Gaia DR3 3336140414380977664,85.52579253407,9.08626661336,0.0,0.0,113.0,1636148068921376768,3336140414380977664,1239471802,0.046,0.0386,0.4378,0.0529,8.2681,1.649,-0.201,0.056,-1.637,0.043,-0.1792,0.1555,-0.3975,0.2328,-0.3173,0.2506,-0.7988,-0.0362,0.3735,-0.2351,445,0,443,2,-0.9727,823.26,0.277,11.344,95,false,,1.7824,0.0088,0.097,-0.103,0.02,-0.129,0.132,52,20,0.085304,54,0.04101,19.24,0,0,0.967,0,441,9853.82115,12.083,815.512,15.703355,0.00306,52,10162.6,87.4161,116.256,15.321027,0.009747,50,5025.08,38.8918,129.207,15.495039,0.009214,1.541,0,3,0,2,0,-0.174012,-0.382328,0.208316,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,7599.3,7597.9,7599.9,3.8992,3.883,3.9309,-1.8374,-1.9006,-1.7212,5107.0117,4929.8223,5199.236,7.0E-4,1.0E-4,0.0015,7.0E-4,1.0E-4,0.0014,4.0E-4,0.0,8.0E-4,MARCS,85.52579343888,9.08627388766,0.911538,0.715916,-0.245,0.123087,118900855258083998,85.52579825,9.08626152,0.006,0.005,90.0,830791680,99,56214.25378472,5,65,13.251,,,,114724,12.14,,,,114724,11.656,,,,114724,11.383,,,,114724,11.201,,,,114724,0.138668,J054206.16+090511.6,85.5256877,9.0865693,0.0285,0.0281,88.0,11.413,9.016,4.715,-0.181,15.421,14.127,13.541,0.025,0.019,0.013,0.014,0.254,,,857109001351032094,hh0h,3,nn24,AAAA,-977,33,-897,32,1.406,1.048493
1019," ","PN G197.2-14.2 ",Abell10,3333922699432278656,B,82.9404,6.9339,0.05,18.71,0.43,0.39,0.23,82.9404,6.9339,Gaia DR3 3333922699432278656,82.94037312495,6.93389267589,0.0,0.0,115.0,1636148068921376768,3333922699432278656,1189325280,0.2089,0.1691,-0.0595,0.2315,-0.2571,1.532,1.508,0.243,0.267,0.183,-0.2591,-0.0983,-0.4768,0.277,-0.2168,0.2998,-0.7499,0.2005,0.251,-0.2814,428,0,424,4,6.92,689.23,1.021,5.517,95,false,,1.6948,0.0445,-0.136,-0.084,0.08,0.058,0.13,49,20,0.380591,51,0.03571,74.83,0,0,1.248,0,423,617.051,5.64225,109.363,18.711565,0.010303,46,637.138,28.4218,22.4172,18.32796,0.048513,44,549.86,26.3916,20.8346,17.897266,0.052249,1.924,0,1,0,1,0,0.430693,-0.383606,0.814299,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.997772,0.002227,0.0,,,,,,,,,,,,,,,,,,,,,,,82.94036637146,6.93389148711,3.992506,3.055322,-0.2933,0.099596,116320829403821122,82.94037246,6.93389171,0.008,0.007,90.0,444915712,53,56352.83622685,10,86,18.1998,0.042,14.0951,0.0171,16892216,18.2947,0.0293,14.1057,0.054,16892216,18.3691,0.0248,16.8698,0.0448,16892216,18.4056,0.0436,17.9088,0.0591,16892216,18.083,0.0426,17.3365,0.2815,16892216,0.102844,J053145.67+065601.9,82.9403182,6.9338867,0.0562,0.0545,146.6,14.015,13.19,9.652,7.298,,,,0.028,0.032,0.051,0.125,,,,823107501351000208,0000,0,1100,AAAB,101,147,-227,147,,0.296123
1021,*,"PN G197.8+17.3 ",NGC2392,865037169677723904,A,112.2949,20.9118,0.04,10.68,-0.27,0.09,-0.32,112.2949,20.9118,Gaia DR3 865037169677723904,112.29485540704,20.91180208706,0.0,0.0,80.0,1636148068921376768,865037169677723904,747688557,0.0413,0.0354,0.5451,0.0467,11.6704,1.796,-1.613,0.049,0.789,0.039,0.0577,-0.2812,-0.24,0.2375,-0.4285,0.1484,-0.2294,0.1326,-0.0631,-0.0703,237,237,237,0,4.2979,4273.3,0.344,155.17,31,false,1.841,,,,,,,,27,16,0.069241,28,0.1274,100.0,0,0,1.204,0,235,1006739.17781,1344.73,748.655,10.680075,0.003114,27,806840.0,3096.89,260.532,10.571574,0.005015,27,366081.0,1367.46,267.708,10.838951,0.005544,1.165,0,0,0,0,0,-0.267377,-0.1085,-0.158876,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,19996.6,19990.8,19999.2,3.4624,3.4618,3.4633,-0.179,-0.1851,-0.1746,6783.7417,6776.472,6788.2905,0.15,0.149,0.1509,0.1514,0.1505,0.1524,0.0819,0.0813,0.0824,A,112.29486308254,20.91179858002,0.786997,0.628975,-0.0887,0.150149,133091122949224746,112.29485506,20.91180074,0.022,0.02,90.0,1157947392,138,55921.07834491,6,46,10.496,,,,32868,10.826,,,,16484,11.097,,,,16484,11.293,,,,98404,11.427,,,,98404,0.151151,J072910.73+205442.4,112.2947475,20.9117917,0.0317,0.0296,158.7,9.992,9.249,4.828,0.768,10.872,10.919,10.936,0.022,0.02,0.017,0.023,0.026,0.028,0.034,1130121201351011799,dddh,3,3344,AAAA,52,32,64,32,0.383,0.513806
