recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,DR3Name,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),BP-RP_x,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,gmag_xa,e_gmag_x,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,AllWISE,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,angDist_xa,PC1,PC2,PC3,Label
1006, ,PN G189.8+07.7 ,M1-7,3382861038566672000,B,99.3372,24.0098,0.31,19.79,0.17,0.25,0.03,99.3372,24.0098,Gaia DR3 3382861038566672000,99.33717226052,24.0098348905,0.9407,0.935,1.3761,1.2174,1.1303,1.551,1.238,-3.897,0.933,19.79097,0.015446,7,8354.6,206.58,40.4424,15.533729,0.026991,5,5652.68,31.0332,182.149,15.36726,0.007058,61.347,0.166469,-4.257241,4.42371,,,,,,,,,,,,,,,,,,,,,,,,15.5573,0.0409,13.1703,0.0031,16793912,15.4212,0.1204,13.1098,0.0042,16793912,17.2374,0.1081,14.5179,0.0072,16892216,17.4121,0.1431,14.7021,0.0089,16793912,16.3421,0.0108,13.6182,0.0035,16892216,1.49152,J063720.93+240035.5,11.584,10.568,6.118,2.91,15.134,14.153,12.966,0.022,0.021,0.013,0.017,0.1,,,990124201351020603,0.286073,10.695999,5.246027,4.9858665,1
1019, ,PN G197.2-14.2 ,Abell10,3333922699432278656,B,82.9404,6.9339,0.05,18.71,0.43,0.39,0.23,82.9404,6.9339,Gaia DR3 3333922699432278656,82.94037312495,6.93389267589,0.2089,0.1691,-0.0595,0.2315,-0.2571,1.508,0.243,0.267,0.183,18.711565,0.010303,46,637.138,28.4218,22.4172,18.32796,0.048513,44,549.86,26.3916,20.8346,17.897266,0.052249,1.924,0.430693,-0.383606,0.814299,,,,,,,,,,,,,,,,,,,,,,,,18.1998,0.042,14.0951,0.0171,16892216,18.2947,0.0293,14.1057,0.054,16892216,18.3691,0.0248,16.8698,0.0448,16892216,18.4056,0.0436,17.9088,0.0591,16892216,18.083,0.0426,17.3365,0.2815,16892216,0.102844,J053145.67+065601.9,14.015,13.19,9.652,7.298,,,,0.028,0.032,0.051,0.125,,,,823107501351000208,0.296123,10.966638,8.365945,5.643659,-1
1023, ,PN G198.6-06.3 ,Abell12,3329653849828221696,A,90.5833,9.6538,0.79,18.65,-0.13,0.31,-0.3,90.5833,9.6538,Gaia DR3 3329653849828221696,90.58332754862,9.65379964892,0.2298,0.206,0.7731,0.22,3.514,0.176,0.274,-0.586,0.234,18.654491,0.004913,21,656.732,28.7895,22.8115,18.295073,0.047678,22,339.075,19.5565,17.3382,18.422157,0.062735,1.531,-0.127085,-0.359419,0.232334,,,,,,6628.0,6623.6,6630.8,4.6381,4.6372,4.6387,-3.8831,-4.1121,-3.4551,5805.7466,5798.844,5808.444,0.0009,0.0002,0.0022,0.0004,0.0,0.0011,17.492,0.0483,12.5951,0.2262,16777496,17.3062,0.0199,11.7597,0.0769,16777496,18.3536,0.0176,18.5686,0.0151,16892216,17.9559,0.0389,20.3243,0.329,16696,,,,,16440,0.104767,J060220.02+093913.6,12.524,11.419,6.966,3.68,,,,0.05,0.028,0.016,0.023,,,,903109001351051549,0.531342,10.166846,7.3741755,4.3066382,3
1026, ,PN G199.4+14.3 ,PaJy1,3362175922014398720,B,110.0064,18.2905,1.11,12.79,-0.02,0.12,-0.09,110.0064,18.2905,Gaia DR3 3362175922014398720,110.00644021494,18.29052499944,0.029,0.0278,0.0448,0.0341,1.316,-0.599,0.033,-1.0,0.027,12.786484,0.004663,23,114480.0,1091.42,104.891,12.69172,0.010721,23,65028.8,526.595,123.489,12.715131,0.00957,1.241,-0.023411,-0.094764,0.071353,,,,,,24521.2,24499.3,24536.2,4.472,4.4626,4.4794,-0.9636,-0.9889,-0.9232,4390.105,4336.069,4460.642,0.577,0.5754,0.5787,0.3128,0.3119,0.3137,12.6732,0.0112,12.7076,0.007,115832,12.8491,0.001,12.8422,0.001,115832,13.2788,0.0033,13.8191,0.0066,16504,13.3979,0.0083,13.4224,0.0015,115064,13.4325,0.0226,13.418,0.0174,115064,0.167841,J072001.54+181725.8,10.161,9.204,5.405,2.262,12.823,12.385,11.755,0.022,0.02,0.014,0.015,0.026,0.026,0.029,1094118101351025156,0.131006,11.810477,8.398371,5.4681973,-1
1035, ,PN G205.8-26.7 ,MaC2-1,3211200438511961088,A,75.9244,-6.1675,0.07,15.81,-0.38,0.12,-0.45,75.9244,-6.1675,Gaia DR3 3211200438511961088,75.92438814645,-6.16750990906,0.0574,0.0432,0.0848,0.0804,1.0537,0.288,0.076,-0.533,0.064,15.809883,0.004123,50,21392.7,67.8979,315.072,14.512877,0.004434,49,8730.21,21.7145,402.045,14.895333,0.004645,3.372,-0.382456,-1.297006,0.91455,,,,,,,,,,,,,,,,,,,,,,,,14.2929,0.0164,14.174,0.0031,16892216,15.0087,0.011,14.8805,0.005,16892216,15.8881,0.0035,15.7548,0.0015,16892216,16.1101,0.0123,15.9846,0.0025,16892216,15.9353,0.0061,15.7442,0.008,16892216,0.038703,J050341.84-061003.0,13.706,12.798,7.888,4.655,15.132,15.282,14.711,0.026,0.026,0.019,0.023,0.043,0.075,0.104,759006101351026627,0.107905,12.849473,8.096316,5.032508,-1
1043, ,PN G211.2-03.5 ,M1-6,3119667469890795008,B,98.938,-0.0937,0.23,15.47,1.43,2.23,0.35,98.938,-0.0937,Gaia DR3 3119667469890795008,98.93801163534,-0.09372712088,0.0379,0.0362,0.1272,0.0441,2.8861,-1.233,0.045,-1.292,0.038,15.473257,0.004783,24,17657.2,320.563,55.0818,14.721237,0.019908,23,38232.2,160.198,238.656,13.291822,0.005914,4.589,1.429415,-0.75202,2.181435,,,,,,,,,,,,,,,,,,,,,,,,15.7509,0.0073,15.5005,0.0014,16892216,14.1011,0.0672,13.5468,0.0008,16892216,14.2564,0.0082,14.0296,0.0034,16892216,14.2491,0.0132,13.8261,0.0055,16892216,13.7054,0.03,13.0973,0.0059,16892216,0.104471,J063545.13-000537.3,8.87,7.655,2.767,-0.101,12.289,11.824,10.645,0.023,0.021,0.009,0.017,0.035,0.052,0.038,983100001351025235,0.227258,8.869916,6.987729,5.211149,4
1045, ,PN G212.0+04.3 ,M1-9,3115628448289044992,B,106.33,2.7832,0.3,15.51,0.42,0.81,-0.01,106.33,2.7832,Gaia DR3 3115628448289044992,106.32999514404,2.78318277953,0.0591,0.0539,0.1114,0.0655,1.6999,-1.243,0.075,0.365,0.061,15.511853,0.004396,23,45493.8,583.492,77.9681,13.693663,0.014202,23,38829.9,239.664,162.018,13.274981,0.007694,7.174,0.418682,-1.818191,2.236873,,,,,,,,,,,,,,,,,,,,,,,,13.8929,0.014,13.5803,0.0019,16892216,13.4824,0.0408,13.2888,0.0134,16892216,14.4595,0.0153,14.2303,0.0032,16892216,14.5283,0.0114,14.2398,0.0033,16892216,13.9582,0.028,13.5551,0.009,16892216,0.068254,J070519.20+024659.5,11.126,10.112,5.157,1.972,13.14,13.05,12.156,0.022,0.02,0.014,0.013,0.032,0.036,0.03,1058103001351021628,0.012224,11.725677,6.5239744,5.132007,-1
1053,*,PN G216.0+07.4 ,PHRJ0723+0036,3110803653827201280,A,110.952,0.6089,3.3,13.83,0.01,0.83,-0.45,110.952,0.6089,Gaia DR3 3110803653827201280,110.95197968877,0.60889664047,0.0197,0.0178,0.1948,0.0222,8.7877,-1.059,0.023,-0.063,0.019,13.829175,0.00287,26,40281.1,81.6861,493.12,13.82579,0.003554,25,23598.9,36.9477,638.712,13.815665,0.004144,1.154,0.010125,-0.003385,0.01351,,,,,,24394.3,22113.3,24526.5,4.4635,4.4359,4.4768,-0.9383,-0.9845,-0.8257,6628.939,6102.706,6786.8447,0.7786,0.731,0.7867,0.419,0.3911,0.4234,13.8708,0.0014,13.9042,0.0022,115000,13.9611,0.0025,14.0036,0.0036,115000,14.1325,0.0064,14.1675,0.0097,115000,14.3042,0.0031,14.3486,0.0018,115000,14.4492,0.0056,14.4616,0.0045,115000,0.071437,J072348.46+003632.1,13.752,13.668,11.154,6.169,13.904,13.908,13.826,0.027,0.037,0.144,0.055,0.032,0.049,0.047,1104100001351055107,0.300537,12.396304,9.659263,5.7069693,0
1056, ,PN G216.3-04.4 ,We1-5,3103708191756172160,B,100.3941,-5.0432,0.06,18.63,0.13,0.51,-0.14,100.3941,-5.0432,Gaia DR3 3103708191756172160,100.39411503992,-5.04320805721,0.1559,0.1736,0.684,0.2087,3.2778,0.226,0.198,1.788,0.188,18.625355,0.004089,21,522.302,8.65299,60.3609,18.543737,0.018203,21,341.897,7.964,42.9303,18.413157,0.025571,1.294,0.130581,-0.081617,0.212198,,,,,,6495.8,6492.9,6497.8,4.5989,4.598,4.5996,-4.0074,-4.0417,-3.9122,5710.809,5703.7,5713.9106,0.0008,0.0002,0.0019,0.0004,0.0001,0.001,18.5673,0.0076,17.9861,0.0342,16892216,18.6134,0.0215,18.0417,0.0591,16892216,18.8153,0.0081,18.6533,0.0796,16892216,18.8762,0.0302,18.7709,0.1373,16892216,18.8874,0.0472,18.5657,0.0953,115000,0.066762,J064134.74-050235.6,14.88,13.825,9.854,5.104,,,,0.053,0.04,0.05,0.033,,,,1002004601351005626,2.416598,11.304024,7.8338876,4.355093,0
1057, ,PN G216.9-05.2 ,MPAJ0639-0554,3100542667721862912,B,99.9922,-5.9159,0.63,18.91,0.22,0.69,-0.15,99.9922,-5.9159,Gaia DR3 3100542667721862912,99.99219499602,-5.91587139577,0.2389,0.2536,-0.0682,0.2841,-0.2401,-0.147,0.285,0.007,0.28,18.9087,0.007033,16,2587.52,53.3018,48.5448,16.806332,0.022539,19,1846.37,24.5792,75.1193,16.5821,0.014939,8.616,0.224232,-2.102369,2.326601,,,,,,,,,,,,,,,,,,,,,,,,17.0284,0.0044,16.0955,0.0053,16892216,16.9537,0.0521,16.3795,0.0415,16892216,18.0807,0.0509,17.3925,0.0192,16793912,18.0674,0.0537,17.1717,0.0101,16892216,17.5907,0.044,16.4857,0.0157,16892216,0.088629,J063958.00-055455.9,12.706,12.139,8.928,4.725,13.679,13.178,13.093,0.024,0.022,0.031,0.026,0.034,,0.044,1002006101351035068,2.241209,11.093762,5.854182,4.9521646,1
