recno,Name,PNG,He/H,n_He/H,r_He/H,lg(O/H)+12,r_lg(O/H)+12,lg(N/H)+12,r_lg(N/H)+12,lg(N/O),dhel,r_dhel,RGal,abs(Z),VLSR,abs(DV),Theta,r_Theta,S5GHz,r_S5GHz,Type,p(typeI),p(typeIIa),p(typeIIb),p(typeIII),p(typeIV),Pre-class,Post-class,SimbadName,_RA,_DE
1,A4,144.3-15.5,," ",21,,21,,21,-0.17,6.1,40,12.8,1.63,,,20.0,87,1.5,99,indef.,0.0,0.0,0.0,0.0,1.0,indef.,IV,PN G144.3-15.5,41.34861,42.55137
2,A12,198.6-06.3,0.119," ",3,8.93,3,8.06,3,-0.87,2.0,34,9.5,0.219,,,37.0,78,36.0,99,IIbD,0.0,0.11,0.67,0.22,0.0,IIbD,IIb,PN G198.6-06.3,90.58352,9.65391
3,A18,216.0-00.2,0.152," ",3,7.99,3,7.97,3,-0.02,1.6,34,8.9,0.006,,,73.0,67,17.0,99,ID,0.98,0.02,0.0,0.0,0.0,ID,I,PN G216.0-00.2,104.06108,-2.8855
4,A20,214.9+07.8,0.125," ",3,8.8,3,,3,,2.0,34,9.3,0.271,,,67.0,67,7.0,99,(I/IIa)D*,0.0,0.78,0.16,0.06,0.0,(I/IIa)D*,IIa,PN G214.9+07.8,110.7406,1.75912
5,A24,217.1+14.7,," ",21,,21,,21,0.43,0.3,37,7.8,0.076,0.9,14.0,354.8,87,36.0,99,indef.,1.0,0.0,0.0,0.0,0.0,indef.,I,PN G217.1+14.7,117.90646,3.00583
6,A35,303.6+40.0,," ",21,,21,,21,-0.1,0.2,47,7.5,0.129,-5.9,15.1,772.0,87,255.0,99,indef.,0.75,0.25,0.0,0.0,0.0,indef.,I,PN G303.6+40.0,193.38663,-22.87294
7,A50,078.5+18.7,0.089," ",21,,21,,21,-0.4,2.8,40,7.5,0.898,-145.2,175.2,27.0,87,1.0,99,IIaC,0.0,0.0,0.0,0.0,1.0,IIaC,IV,PN G078.5+18.7,284.83346,48.46534
8,A65,017.3-21.9,0.26,:,22,8.18,22,7.33,22,-0.85,1.5,40,6.3,0.559,21.8,1.9,104.0,87,4.0,99,IIaF,0.0,1.0,0.0,0.0,0.0,IIaF,IIa,PN G017.3-21.9,296.6425,-23.13691
9,A70,038.1-25.4,0.18," ",22,7.98,22,7.52,22,-0.46,3.5,40,5.5,1.501,-69.0,145.0,42.0,87,12.0,99,IIaE,0.0,0.0,0.0,1.0,0.0,IIaE,III,PN G038.1-25.4,307.88825,-7.08831
10,A71,084.9+04.4,," ",21,,21,,21,0.38,0.9,40,7.6,0.069,,,158.0,87,82.8,99,indef.,1.0,0.0,0.0,0.0,0.0,indef.,I,PN G084.9+04.4,308.09673,47.34734
11,A77,097.5+03.1,," ",21,8.41,21,7.02,21,-1.39,1.5,40,7.9,0.081,-103.4,122.5,65.8,87,307.6,99,indef.,0.0,0.0,0.0,0.0,1.0,indef.,IV,PN G097.5+03.1,323.04266,55.87852
12,A82,114.0-04.6,," ",21,,21,,21,-0.28,2.0,40,8.6,0.16,-24.6,25.4,81.0,87,5.3,99,indef.,0.31,0.69,0.0,0.0,0.0,indef.,IIa,PN G114.0-04.6,356.44922,57.06645
13,Al2-0,358.3-02.5,0.16," ",6,8.66,6,8.43,6,-0.23,5.7,35,1.9,0.249,-70.4,43.1,2.4,83,36.8,98,VF,0.35,0.65,0.0,0.0,0.0,VF,IIa,PN G358.3-02.5,267.93917,-32.05111
14,BD+30 3639,064.7+05.0,0.043,:,21,8.66,24,8.04,24,-0.62,1.5,48,7.1,0.131,-17.1,61.1,5.0,80,600.0,99,IIbC/IIIB,0.0,0.56,0.08,0.36,0.0,IIbC/IIIB,IIa,PN G064.7+05.0,293.68847,30.51637
15,Bl3-13,000.9-02.0,0.105," ",6,8.91,6,7.68,6,-1.23,6.9,35,0.7,0.241,255.0,207.7,5.2,"77,72",10.0,91,VF,0.0,0.0,0.0,0.0,1.0,VF,IV,PN G000.9-02.0,269.0115,-29.18784
16,BoBn1,108.4-76.1,0.098," ",23,7.76,23,7.91,23,0.15,10.8,39,8.8,10.484,192.0,192.7,3.0,71,,,IVF,0.0,0.0,0.0,0.0,1.0,IVF,IV,PN G108.4-76.1,9.31678,-13.71624
17,BV1,119.3+00.3,0.165," ",23,8.48,23,8.56,23,0.08,2.2,33,8.9,0.011,,,18.0,79,,,ID,1.0,0.0,0.0,0.0,0.0,ID,I,PN G119.3+00.3,5.00187,62.98421
18,BV5-1,119.3+00.3,0.174," ",21,8.48,21,8.65,21,0.17,4.1,54,10.3,0.021,-66.7,39.4,41.6,87,17.7,99,IF,1.0,0.0,0.0,0.0,0.0,IF,I,PN G119.3+00.3,5.00187,62.98421
19,Cn1-5,002.2-09.4,0.11," ","13,23",9.04,"13,23",8.46,"13,23",-0.58,4.9,33,2.8,0.8,-22.6,43.0,7.0,87,44.0,99,VF,0.0,0.32,0.65,0.03,0.0,VF,IIb,PN G002.2-09.4,277.29855,-31.49978
20,Cn2-1,356.2-04.4,0.11," ",4,8.8,4,8.28,4,-0.52,3.6,40,4.0,0.276,-161.8,143.1,1.7,87,49.0,99,VF,0.0,0.0,0.0,0.9,0.1,VF,III,PN G356.2-04.4,268.63754,-34.37256
21,Cn3-1,038.2+12.0,0.038,:,21,8.67,"16,21",9.12,21,0.45,2.9,40,5.7,0.603,3.6,71.3,5.0,88,75.0,99,IIaC,0.0,1.0,0.0,0.0,0.0,IIaC,IIa,PN G038.2+12.0,274.3921,10.15093
22,CRL 618,166.4-06.5,," ",21,,21,,21,-0.1,3.5,33,11.0,0.396,,,12.0,87,67.0,99,indef.,0.0,1.0,0.0,0.0,0.0,indef.,IIa,PN G166.4-06.5,70.7235,36.11483
23,DdDm1,061.9+41.3,0.096," ","10,9,23",8.13,"10,9,23",7.44,"10,9,23",-0.69,11.0,33,8.2,7.28,-289.6,297.4,0.6,79,6.0,99,IVF,0.0,0.0,0.0,0.0,1.0,IVF,IV,PN G061.9+41.3,250.07565,38.70553
24,Fg1,290.5+07.9,0.123," ","12,17,22",8.53,"12,17,16,22",7.88,"12,17",-0.66,2.4,40,7.1,0.33,22.3,66.4,27.2,87,55.0,99,IIbC/IIIB,0.0,0.56,0.09,0.35,0.0,IIbC/IIIB,IIa,PN G290.5+07.9,172.15085,-52.93445
25,H1-11,002.6+08.1,0.106," ",6,8.67,6,8.02,6,-0.65,6.7,40,1.0,0.944,14.5,75.7,6.0,87,13.0,99,VF,0.0,0.01,0.03,0.94,0.02,VF,III,PN G002.6+08.1,260.32372,-22.30981
26,H1-13,352.8-00.2,0.123," ",6,8.99,6,8.84,6,-0.15,0.8,40,6.8,0.003,-18.8,11.2,14.0,87,620.0,99,VA,0.11,0.89,0.0,0.0,0.0,VA,IIa,PN G352.8-00.2,262.11474,-35.12545
27,H1-14,001.7+05.7,0.103," ",6,8.27,6,7.62,6,-0.65,5.6,35,2.0,0.556,70.2,45.2,6.6,67,22.0,99,VF,0.0,0.37,0.6,0.03,0.0,VF,IIb,PN G001.7+05.7,262.00734,-24.42306
28,H1-15,001.4+05.3,0.1," ",4,8.69,4,7.43,4,-1.26,5.6,40,2.0,0.517,42.8,22.1,4.3,87,13.0,99,VF,0.0,0.0,0.96,0.01,0.03,VF,IIb,PN G001.4+05.3,262.15673,-24.85183
29,H1-16,000.1+04.3,0.093," ",4,8.87,4,8.09,4,-0.78,,,,,65.0,,1.8,88,58.4,95,(V/IIb/III/IV)D,0.0,0.04,0.59,0.25,0.12,(V/IIb/III/IV)D,IIb,PN G000.1+04.3,262.34732,-26.43455
30,H1-17,358.3+03.0,0.083," ",4,8.32,4,8.08,4,-0.24,10.8,33,3.2,0.565,-20.7,8.0,0.9,87,35.0,99,VF,0.0,0.98,0.02,0.0,0.0,VF,IIa,PN G358.3+03.0,262.41911,-28.67281
31,H1-18,357.6+02.6,0.174," ",21,8.71,"16,21",8.96,21,0.25,7.4,54,0.4,0.336,-212.7,38.5,1.5,88,33.0,99,VF,0.0,1.0,0.0,0.0,0.0,VF,IIa,PN G357.6+02.6,262.42816,-29.54728
32,H1-19,358.9+03.4,0.117," ",4,8.47,4,8.24,4,-0.23,4.9,33,2.7,0.291,32.5,43.2,1.4,87,26.0,99,VF,0.0,1.0,0.0,0.0,0.0,VF,IIa,PN G358.9+03.4,262.51061,-27.98821
33,H1-20,358.9+03.2,0.115," ",4,8.8,4,8.47,4,-0.33,4.1,40,3.5,0.229,198.6,205.6,4.0,87,43.9,99,VF,0.0,0.0,0.0,0.0,1.0,VF,IV,PN G358.9+03.2,262.68258,-28.06856
34,H1-23,357.6+01.7,0.141," ",21,8.76,"16,21",8.58,21,-0.18,4.7,33,2.9,0.139,-63.8,42.9,2.5,88,34.8,99,VF,0.82,0.18,0.0,0.0,0.0,VF,I,PN G357.6+01.7,263.1954,-30.00419
35,H1-27,005.0+04.4,0.135," ",4,8.9,4,8.72,4,-0.18,4.7,40,3.0,0.361,29.4,13.0,0.8,87,18.0,99,VF,0.0,1.0,0.0,0.0,0.0,VF,IIa,PN G005.0+04.4,265.07469,-22.32157
36,H1-29,355.2-02.5,0.107," ",4,8.75,4,8.21,4,-0.54,,,,,-9.1,,10.0,68,,,(V/IIa)D,0.01,0.59,0.28,0.02,0.1,(V/IIa)D,IIa,PN G355.2-02.5,266.05758,-34.29251
37,H1-30,352.0-04.6,0.147," ",6,8.76,6,8.78,6,0.02,5.2,35,2.6,0.417,-6.0,78.2,5.4,67,81.3,99,VF,0.0,1.0,0.0,0.0,0.0,VF,IIa,PN G352.0-04.6,266.27826,-38.14708
38,H1-31,355.1-02.9,0.1," ",4,8.77,4,8.21,4,-0.56,11.8,54,4.3,0.597,55.2,76.6,0.7,88,16.0,99,VF,0.0,0.21,0.05,0.73,0.01,VF,III,PN G355.1-02.9,266.38377,-34.56537
